Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  2.12      0.16     0.16  8094142     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.59      0.28     0.12   751464     0.00     0.00  Math::Matrix::operator*=(Math::Matrix const&)::{lambda(int, int)#1}::operator()(int, int) const
  1.46      0.39     0.11  1729716     0.00     0.00  std::function<void ()>::function(std::function<void ()>&&)
  1.39      0.49     0.10  4875641     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  1.32      0.59     0.10  1137859     0.00     0.00  std::future<decltype ({parm#1}())> Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})
  1.19      0.69     0.09  1723479     0.00     0.00  std::packaged_task<void ()>::operator()()
  1.06      0.77     0.08  5408717     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  1.06      0.84     0.08  5092084     0.00     0.00  std::function<void ()>::~function()
  1.06      0.93     0.08   559627     0.00     0.00  Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)
  0.99      1.00     0.07  6609718     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.99      1.07     0.07  1601628     0.00     0.00  std::__future_base::_State_baseV2::_M_set_retrieved_flag()
  0.93      1.15     0.07 11494414     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.93      1.22     0.07        4     0.02     0.38  Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const
  0.79      1.27     0.06  1651327     0.00     0.00  std::__future_base::_Result_base::_Deleter::operator()(std::__future_base::_Result_base*) const
  0.79      1.33     0.06  1165563     0.00     0.00  Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}::operator()() const
  0.79      1.40     0.06                             _init
  0.73      1.45     0.06 21191045     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.73      1.50     0.06  3305259     0.00     0.00  std::__shared_ptr<std::packaged_task<void ()>, (__gnu_cxx::_Lock_policy)2>::get() const
  0.66      1.55     0.05  6191835     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.66      1.60     0.05  5199570     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(unsigned long, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.66      1.66     0.05  4864122     0.00     0.00  std::__shared_ptr<std::packaged_task<void ()>, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.66      1.71     0.05  4087017     0.00     0.00  Math::Matrix::Matrix(Math::Matrix const&)
  0.66      1.75     0.05  1714822     0.00     0.00  std::__future_base::_State_baseV2::_M_set_result(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>, bool)
  0.66      1.80     0.05  1157065     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr_inplace<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(std::allocator<std::packaged_task<void ()> >, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&)
  0.66      1.85     0.05   260246     0.00     0.00  Math::operator*(Math::Matrix, Math::Matrix const&)
  0.60      1.90     0.04 42275828     0.00     0.00  std::is_constant_evaluated()
  0.60      1.95     0.04 12369113     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.60      1.99     0.04  7082906     0.00     0.00  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
  0.60      2.04     0.04  6636216     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.60      2.08     0.04  5615318     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
